date,open,high,low,close,volume
2025-01-02,425.53,426.07,414.85,418.58,16896350.0
2025-01-03,421.08,424.03,419.54,423.35,16662621.0
2025-01-06,428.0,434.32,425.4774,427.85,20573648.0
2025-01-07,429.0,430.65,420.8,422.37,18139037.0
2025-01-08,423.46,426.97,421.54,424.56,15054344.0
2025-01-10,424.63,424.71,415.02,418.95,20201109.0
2025-01-13,415.235,418.5,412.29,417.19,17604419.0
2025-01-14,417.81,419.74,410.72,415.67,16935855.0
2025-01-15,419.13,428.15,418.265,426.31,19637620.0
2025-01-16,428.695,429.49,424.39,424.58,15299693.0
2025-01-17,434.085,434.48,428.17,429.03,26197173.0
2025-01-21,430.2,430.8999,425.595,428.5,26085482.0
2025-01-22,437.56,447.27,436.0,446.2,27803805.0
2025-01-23,442.0,446.75,441.5048,446.71,18389133.0
2025-01-24,445.16,446.65,441.4,444.06,15549132.0
2025-01-27,424.01,435.2,423.5,434.56,35647651.0
2025-01-28,434.6,448.38,431.38,447.2,23490994.0
2025-01-29,446.69,446.88,440.4,442.33,23581370.0
2025-01-30,418.77,422.86,413.16,414.99,54586190.0
2025-01-31,418.98,420.69,414.91,415.06,34222772.0
2025-02-03,411.6,415.41,408.66,410.92,25678942.0
2025-02-04,412.685,413.9199,409.74,412.37,20532096.0
2025-02-05,412.35,413.827,410.4,413.29,16335939.0
2025-02-06,414.0,418.2,414.0,415.82,16309408.0
2025-02-07,416.48,418.65,408.1,409.75,22886837.0
2025-02-10,413.71,415.4624,410.92,412.22,20817919.0
2025-02-11,409.64,412.49,409.3,411.44,18140518.0
2025-02-12,407.21,410.75,404.3673,409.04,19121598.0
2025-02-13,407.0,411.0,406.36,410.54,23891464.0
2025-02-14,407.79,408.91,405.88,408.43,22758459.0
2025-02-18,408.0,410.597,406.5,409.64,21423051.0
2025-02-19,407.88,415.49,407.65,414.77,24113936.0
2025-02-20,415.29,419.31,412.54,416.13,23508644.0
2025-02-21,417.335,418.048,407.89,408.21,27524792.0
2025-02-24,408.51,409.37,399.32,404.0,26443588.0
2025-02-25,401.1,401.915,396.7,397.9,29387394.0
2025-02-26,398.01,403.6,394.245,399.73,19618664.0
2025-02-27,401.265,405.74,392.17,392.53,21127311.0
2025-02-28,392.655,397.63,386.57,396.99,32845493.0
2025-03-03,398.82,398.82,386.155,388.49,23007677.0
2025-03-04,383.4,392.58,381.0,388.61,29342885.0
2025-03-05,389.34,401.67,388.81,401.02,23433098.0
2025-03-06,394.28,402.15,392.6777,396.89,23304264.0
2025-03-07,392.32,394.8,385.54,393.31,22034071.0
2025-03-10,385.84,386.4,377.22,380.16,32840132.0
2025-03-11,379.0,386.0,376.91,380.45,30378783.0
2025-03-12,382.95,385.2165,378.9507,383.27,24253222.0
2025-03-13,383.155,385.32,377.45,378.77,20472460.0
2025-03-14,379.775,390.23,379.51,388.56,19952801.0
2025-03-17,386.7,392.705,385.57,388.7,22473889.0
2025-03-18,387.07,387.37,381.1,383.52,19486173.0
2025-03-19,385.525,389.68,384.0,387.82,19185448.0
2025-03-20,385.735,391.785,383.28,386.84,18470371.0
2025-03-21,383.215,391.74,382.8,391.26,39675534.0
2025-03-24,395.4,395.4,389.81,393.08,21004500.0
2025-03-25,393.915,396.36,392.64,395.16,15774388.0
2025-03-26,395.0,395.31,388.57,389.97,16132480.0
2025-03-27,390.13,392.24,387.395,390.58,13766697.0
2025-03-28,388.08,389.13,376.93,378.8,21631265.0
2025-03-31,372.535,377.07,367.24,375.39,35184587.0
2025-04-01,374.65,382.85,373.23,382.19,19689467.0
