date,open,high,low,close,volume
2025-01-02,390.1,392.7299,373.04,379.28,109710672.0
2025-01-03,381.48,411.8799,379.45,410.44,95423204.0
2025-01-06,423.2,426.43,401.7,411.05,85516304.0
2025-01-07,405.83,414.33,390.0,394.36,75699474.0
2025-01-08,392.95,402.4999,387.4,394.94,73038805.0
2025-01-10,391.4,399.28,377.29,394.74,62287328.0
2025-01-13,383.21,403.79,380.07,403.31,67580272.0
2025-01-14,414.34,422.64,394.54,396.36,84565010.0
2025-01-15,409.9,429.8,405.661,428.22,81375313.0
2025-01-16,423.49,424.0,409.13,413.82,68335143.0
2025-01-17,421.5,439.74,419.75,426.5,94991429.0
2025-01-21,432.64,433.2,406.31,424.07,87320794.0
2025-01-22,416.81,428.0,414.59,415.11,60963342.0
2025-01-23,416.06,420.73,408.95,412.38,50690475.0
2025-01-24,414.45,418.88,405.78,406.58,56426990.0
2025-01-27,394.8,406.69,389.0,397.15,58125507.0
2025-01-28,396.91,400.59,386.5,398.09,48910676.0
2025-01-29,395.21,398.5899,384.48,389.1,68033613.0
2025-01-30,410.78,412.5,384.41,400.28,98092667.0
2025-01-31,401.53,419.99,401.34,404.6,83568044.0
2025-02-03,386.68,389.17,374.36,383.68,93732110.0
2025-02-04,382.63,394.0,381.4,392.21,57072235.0
2025-02-05,387.51,388.39,375.53,378.17,57614719.0
2025-02-06,373.03,375.4,363.18,374.32,77918214.0
2025-02-07,370.19,380.5459,360.34,361.62,70297478.0
2025-02-10,356.21,362.7,350.51,350.73,77514806.0
2025-02-11,345.8,349.37,325.1,328.5,118543350.0
2025-02-12,329.94,346.4,329.12,336.51,105382679.0
2025-02-13,345.0,358.69,342.85,355.94,89441364.0
2025-02-14,360.62,362.0,347.5,355.84,68277213.0
2025-02-18,355.01,359.1,350.02,354.11,51631642.0
2025-02-19,354.0,367.34,353.67,360.56,67093820.0
2025-02-20,361.51,362.3,348.0,354.4,45965354.0
2025-02-21,353.44,354.98,334.42,337.8,74058648.0
2025-02-24,338.14,342.3973,324.7,330.53,76052317.0
2025-02-25,327.025,328.89,297.2512,302.8,134228524.0
2025-02-26,303.715,309.0,288.04,290.8,100118206.0
2025-02-27,291.16,297.23,280.88,281.95,101748146.0
2025-02-28,279.5,293.88,273.6,292.98,115696749.0
2025-03-03,300.34,303.94,277.3,284.65,115550486.0
2025-03-04,270.93,284.35,261.8401,272.04,126706521.0
2025-03-05,272.92,279.55,267.71,279.1,94042817.0
2025-03-06,272.06,272.65,260.02,263.45,98451421.0
2025-03-07,259.32,266.2499,250.73,262.67,102369640.0
2025-03-10,252.535,253.37,220.0,222.15,189076932.0
2025-03-11,225.305,237.0649,217.02,230.58,174896286.0
2025-03-12,247.22,251.84,241.1,248.09,142215670.0
2025-03-13,248.125,248.29,232.6,240.68,114813525.0
2025-03-14,247.31,251.58,240.73,249.98,100242143.0
2025-03-17,245.055,245.4,232.8,238.01,111900533.0
2025-03-18,228.155,230.1,222.28,225.31,111477631.0
2025-03-19,231.61,241.41,229.201,235.86,111993753.0
2025-03-20,233.345,238.0,230.0501,236.26,99028242.0
2025-03-21,234.985,249.52,234.55,248.71,132728684.0
2025-03-24,258.075,278.64,256.33,278.39,169079752.0
2025-03-25,283.6,288.2,271.28,288.14,150361535.0
2025-03-26,282.66,284.9,266.51,272.06,156254386.0
2025-03-27,272.48,291.85,271.8216,273.13,162572097.0
2025-03-28,275.575,276.1,260.57,263.55,123809340.0
2025-03-31,249.31,260.56,243.3601,259.16,134008847.0
2025-04-01,263.8,277.45,259.25,268.46,146486911.0
