date,open,high,low,close,volume
2025-01-02,248.93,249.1,241.8201,243.85,55740727.0
2025-01-03,243.36,244.18,241.89,243.36,40244098.0
2025-01-06,244.31,247.33,243.2,245.0,45045570.0
2025-01-07,242.98,245.55,241.35,242.21,40855888.0
2025-01-08,241.92,243.7123,240.05,242.7,37628938.0
2025-01-10,240.01,240.16,233.0,236.85,61710839.0
2025-01-13,233.53,234.67,229.72,234.4,49630589.0
2025-01-14,234.75,236.12,232.472,233.28,39435194.0
2025-01-15,234.635,238.96,234.43,237.87,39831968.0
2025-01-16,237.35,238.01,228.03,228.26,71758956.0
2025-01-17,232.115,232.29,228.48,229.98,68488066.0
2025-01-21,224.0,224.42,219.38,222.64,98070285.0
2025-01-22,219.79,224.12,219.79,223.83,64126500.0
2025-01-23,224.74,227.03,222.3,223.66,60234680.0
2025-01-24,224.78,225.63,221.41,222.78,54697821.0
2025-01-27,224.02,232.15,223.98,229.86,94863311.0
2025-01-28,230.85,240.19,230.81,238.26,75707549.0
2025-01-29,234.12,239.855,234.01,239.36,45486094.0
2025-01-30,238.665,240.79,237.21,237.59,55658036.0
2025-01-31,247.19,247.19,233.44,236.0,101075110.0
2025-02-03,229.99,231.83,225.7,228.01,73063240.0
2025-02-04,227.25,233.13,226.65,232.8,45067234.0
2025-02-05,228.53,232.67,228.27,232.47,39664953.0
2025-02-06,231.285,233.8,230.425,233.22,29924943.0
2025-02-07,232.6,234.0,227.26,227.63,39707148.0
2025-02-10,229.57,230.585,227.2,227.65,33115573.0
2025-02-11,228.2,235.23,228.13,232.62,53717894.0
2025-02-12,231.2,236.96,230.68,236.87,45242936.0
2025-02-13,236.91,242.3399,235.57,241.53,53614052.0
2025-02-14,241.25,245.55,240.99,244.6,40896125.0
2025-02-18,244.15,245.18,241.84,244.47,48822355.0
2025-02-19,244.66,246.01,243.1604,244.87,32204015.0
2025-02-20,244.94,246.78,244.29,245.83,32316907.0
2025-02-21,245.95,248.69,245.22,245.55,53197360.0
2025-02-24,244.925,248.86,244.42,247.1,51326021.0
2025-02-25,248.0,250.0,244.91,247.04,48013196.0
2025-02-26,244.33,244.98,239.13,240.36,44433359.0
2025-02-27,239.41,242.46,237.06,237.3,41153349.0
2025-02-28,236.95,242.09,230.2,241.84,56833310.0
2025-03-03,241.79,244.0272,236.112,238.03,47183985.0
2025-03-04,237.705,240.07,234.68,235.93,53797735.0
2025-03-05,235.42,236.55,229.23,235.74,47227643.0
2025-03-06,234.435,237.86,233.1581,235.33,45170419.0
2025-03-07,235.105,241.37,234.76,239.07,46273564.0
2025-03-10,235.54,236.16,224.22,227.48,72070924.0
2025-03-11,223.805,225.8399,217.45,220.84,76137395.0
2025-03-12,220.14,221.75,214.91,216.98,62546947.0
2025-03-13,215.95,216.8394,208.42,209.68,61368329.0
2025-03-14,211.25,213.95,209.58,213.49,60107524.0
2025-03-17,213.31,215.22,209.97,214.0,48073426.0
2025-03-18,214.16,215.15,211.49,212.69,42432426.0
2025-03-19,214.22,218.76,213.75,215.24,54385154.0
2025-03-20,213.99,217.4899,212.22,214.1,48862686.0
2025-03-21,211.56,218.84,211.28,218.27,94127168.0
2025-03-24,221.0,221.48,218.58,220.73,44299481.0
2025-03-25,220.77,224.1,220.08,223.75,34493551.0
2025-03-26,223.51,225.02,220.47,221.53,34532656.0
2025-03-27,221.39,224.99,220.5601,223.85,37094774.0
2025-03-28,221.67,223.81,217.68,217.9,39818617.0
2025-03-31,217.005,225.62,216.23,222.13,65299321.0
2025-04-01,219.805,223.68,218.9,223.19,36412484.0
